epoch,train loss,valid loss,train accu,valid_accu
0,1.6958421902223066,1.2704635670763909,0.3178519593613933,0.5144508670520231
1,0.9778487519784407,1.040920143753204,0.6124818577648766,0.6184971098265896
2,0.7284552590413527,1.0729158266172933,0.7314949201741655,0.6127167630057804
3,0.5349365716630762,0.9236142289814017,0.806966618287373,0.7283236994219653
4,0.3532618812539361,1.3332592949343205,0.8838896952104499,0.6647398843930635
5,0.38477456163276325,1.141463936426989,0.8577648766328012,0.6358381502890174
6,0.3386014388366179,0.8403568668519766,0.8693759071117562,0.7572254335260116
7,0.19363073191859506,0.7514188983087358,0.93033381712627,0.8034682080924855
8,0.1427787755700675,0.8287687450771845,0.9622641509433962,0.7630057803468208
9,0.1145171888849952,0.7623559625121507,0.9579100145137881,0.7514450867052023
10,0.1522596806965091,1.0259248917737998,0.9462989840348331,0.7341040462427746
11,0.1795091503723101,0.8953979684859568,0.9346879535558781,0.7745664739884393
12,0.1392736014994708,0.896832808641908,0.9492017416545718,0.7514450867052023
13,0.16491790691559965,0.6968249772908166,0.9404934687953556,0.8034682080924855
14,0.10358781773935664,0.8238355975485047,0.9709724238026125,0.7514450867052023
15,0.07272185309028084,0.9038592917727565,0.9753265602322206,0.7687861271676301
16,0.04914071266962723,1.054751613275942,0.9840348330914369,0.7456647398843931
17,0.026462312512607736,1.096824345596113,0.988388969521045,0.7630057803468208
18,0.028658374424346468,1.0469243190577826,0.9898403483309144,0.7687861271676301
19,0.018493087263777852,1.109728396530623,0.9941944847605225,0.7803468208092486
20,0.051419806836003605,1.303860792469279,0.9854862119013063,0.7572254335260116
21,0.04361102310940623,1.2697972306143308,0.9811320754716981,0.7456647398843931
22,0.11444781796837394,1.2866574135764415,0.969521044992743,0.7398843930635838
23,0.15003491142256695,1.2169604150876483,0.9593613933236574,0.6994219653179191
24,0.12632178024134852,1.1003439757934936,0.9608127721335269,0.7341040462427746
25,0.04581373320384459,0.8224298930062436,0.9898403483309144,0.791907514450867
26,0.012813635551455345,1.0332042741871201,0.9970972423802612,0.7687861271676301
27,0.009979197967120192,0.9077334590992221,0.9970972423802612,0.791907514450867
28,0.005210586431944234,0.9984416420454755,0.9985486211901307,0.791907514450867
29,0.0049491669792173934,1.1204960517640963,0.9985486211901307,0.791907514450867
