epoch,train loss,valid loss,train accu,valid_accu
0,1.6343669295310974,1.574571167141938,0.2774327122153209,0.45454545454545453
1,1.0101092830300331,0.9916985458578945,0.5734989648033126,0.5454545454545454
2,0.6024315766990185,0.7355809582104861,0.782608695652174,0.6942148760330579
3,0.45182381570339203,0.8233248737432863,0.8260869565217391,0.7107438016528925
4,0.3874310068786144,0.7448785377460463,0.8488612836438924,0.7107438016528925
5,0.24628016725182533,0.7284387448936804,0.9047619047619048,0.743801652892562
6,0.1697094403207302,0.7964890187759912,0.9523809523809523,0.7107438016528925
7,0.12484161788597703,0.8781698602143471,0.9565217391304348,0.6859504132231405
8,0.10136070568114519,0.8680217978336477,0.9585921325051759,0.743801652892562
9,0.073649896774441,0.8904574116899883,0.9813664596273292,0.71900826446281
10,0.04053096240386367,0.9046418950966947,0.9834368530020704,0.7272727272727273
11,0.052352544385939837,0.9321779037406284,0.9855072463768116,0.7272727272727273
12,0.04529861954506487,0.9773895740821419,0.9772256728778468,0.7272727272727273
13,0.04168306337669492,0.7771095977497214,0.9834368530020704,0.7520661157024794
14,0.015411653264891356,0.8706829363611538,1.0,0.7768595041322314
15,0.008526430392521434,0.8960812528882741,0.9979296066252588,0.7933884297520661
16,0.005540275335079059,0.932339838993921,1.0,0.7768595041322314
17,0.0016140068109962158,0.9530520835202901,1.0,0.768595041322314
18,0.0011069527608924545,0.934525337614672,1.0,0.7603305785123967
19,0.0006754942223778926,0.9163800767557465,1.0,0.768595041322314
20,0.0005095132073620334,0.9110658774625034,1.0,0.7851239669421488
21,0.0004754965539177647,0.9206799240330327,1.0,0.7851239669421488
22,0.0003913716791430488,0.9293141395455113,1.0,0.7851239669421488
23,0.00033640648507571314,0.9376363187077215,1.0,0.7851239669421488
24,0.00031595659129379783,0.944486678992272,1.0,0.7851239669421488
25,0.0002843830134224845,0.9530410967062406,1.0,0.7851239669421488
26,0.00022824625011708122,0.9613539641098605,1.0,0.7851239669421488
27,0.00023361186867987271,0.9734621413279921,1.0,0.7851239669421488
28,0.00021274596656439826,0.9724091818975786,1.0,0.7851239669421488
29,0.00021139347336429637,0.9749609792947979,1.0,0.7851239669421488
