epoch,train loss,valid loss,train accu,valid_accu
0,1.6092475801706314,1.7355163077677578,0.28778467908902694,0.5041322314049587
1,1.0099667981266975,1.3173197901938571,0.6086956521739131,0.6115702479338843
2,0.7685446888208389,0.9173306924991371,0.7163561076604554,0.7355371900826446
3,0.5486721880733967,0.9648892126423269,0.8095238095238095,0.5950413223140496
4,0.341119859367609,0.8733285443841918,0.865424430641822,0.71900826446281
5,0.24331345409154892,1.0971105016665994,0.9047619047619048,0.6198347107438017
6,0.2606525830924511,0.679364190711101,0.9109730848861284,0.7603305785123967
7,0.20513120852410793,0.7525192416592478,0.9316770186335404,0.71900826446281
8,0.16325465496629477,0.9133816447680477,0.9627329192546584,0.7520661157024794
9,0.24689370393753052,1.1245504883194943,0.9213250517598344,0.6611570247933884
10,0.17814103327691555,0.9361528207287952,0.9440993788819876,0.7272727272727273
11,0.15326829440891743,0.8823211358686114,0.937888198757764,0.7355371900826446
12,0.10356841143220663,0.920727998838644,0.9751552795031055,0.768595041322314
13,0.13455108786001801,0.9276823574000747,0.9627329192546584,0.7768595041322314
14,0.09241305943578482,0.8544667761202279,0.9648033126293996,0.8016528925619835
15,0.08773107826709747,0.7320928603715229,0.9710144927536232,0.7851239669421488
16,0.05633841035887599,0.8047590861928001,0.9710144927536232,0.7520661157024794
17,0.02589453535620123,0.7821614030165748,0.9917184265010351,0.7851239669421488
18,0.015709311861428432,0.9207942985662654,0.9937888198757764,0.768595041322314
19,0.011745664436602965,0.8153015993063062,1.0,0.8016528925619835
20,0.00866086981841363,0.8994631722575419,0.9979296066252588,0.7603305785123967
21,0.0035533507470972836,1.0133420617028395,1.0,0.7851239669421488
22,0.0027245339151704684,0.9857076609516584,1.0,0.7768595041322314
23,0.0014169620044413023,0.9818282326497587,1.0,0.7768595041322314
24,0.0010583178882370703,0.9861364861978908,1.0,0.768595041322314
25,0.0007894242517068051,0.9839767771189084,1.0,0.768595041322314
26,0.0007431768317474052,0.9902384605641578,1.0,0.768595041322314
27,0.000613578569755191,1.0004718961546726,1.0,0.7768595041322314
28,0.000549747815966839,1.0135722441855664,1.0,0.7768595041322314
29,0.0004920513638353441,1.0200770149423184,1.0,0.7768595041322314
