epoch,train loss,valid loss,train accu,valid_accu
0,1.6638868153095245,1.7135667091558788,0.2650103519668737,0.4462809917355372
1,1.2053256407380104,1.22483250942112,0.5217391304347826,0.5371900826446281
2,0.886763259768486,1.2390869789379688,0.6438923395445134,0.4380165289256198
3,0.7629541605710983,1.1626994384468095,0.6977225672877847,0.512396694214876
4,0.632670447230339,1.7211187106580281,0.7494824016563147,0.38016528925619836
5,0.5333871394395828,0.7714437622931009,0.7846790890269151,0.7520661157024794
6,0.4168272577226162,1.2211983360288556,0.8571428571428571,0.6446280991735537
7,0.3654055017977953,1.0893098762170372,0.8674948240165632,0.628099173553719
8,0.36744194850325584,1.2229227897834247,0.8674948240165632,0.5950413223140496
9,0.3098250553011894,1.4886793201781563,0.8923395445134575,0.5206611570247934
10,0.24683173652738333,0.84808394167147,0.917184265010352,0.768595041322314
11,0.13224575016647577,0.7942929876822024,0.94824016563147,0.768595041322314
12,0.09331472718622535,1.2281953089452957,0.9668737060041408,0.6694214876033058
13,0.11388761247508228,0.8480822783856352,0.9606625258799172,0.7520661157024794
14,0.09943707846105099,1.112699340978027,0.9710144927536232,0.71900826446281
15,0.05076831625774503,0.9067552509831112,0.9834368530020704,0.7603305785123967
16,0.0367724442621693,1.4766713541921452,0.9937888198757764,0.6611570247933884
17,0.04897467355476692,1.745396102119117,0.9875776397515528,0.6115702479338843
18,0.07202849822351709,1.2344772281810925,0.9730848861283644,0.7355371900826446
19,0.05095835588872433,1.2585624112218476,0.9834368530020704,0.7520661157024794
20,0.04048215760849416,1.709471865408849,0.9813664596273292,0.6776859504132231
21,0.052731419331394136,1.6260352253206225,0.9772256728778468,0.71900826446281
22,0.08726695575751364,1.148807826696213,0.9668737060041408,0.743801652892562
23,0.03516689862590283,1.2319683748400099,0.9875776397515528,0.7107438016528925
24,0.0281888292520307,1.2735140991670442,0.989648033126294,0.7107438016528925
25,0.06809714075643569,1.4817550239073878,0.9834368530020704,0.6859504132231405
26,0.03994372516172007,1.3383474219341742,0.9875776397515528,0.6942148760330579
27,0.027511575433891267,1.8281711858214917,0.989648033126294,0.5950413223140496
28,0.09350031612848397,2.2765763113317488,0.9730848861283644,0.5619834710743802
29,0.09989544644486159,1.439801594543113,0.9730848861283644,0.6694214876033058
