epoch,train loss,valid loss,train accu,valid_accu
0,1.6092475801706314,1.7355163048121556,0.28778467908902694,0.5041322314049587
1,1.0099668875336647,1.317244939567629,0.6086956521739131,0.6115702479338843
2,0.7685442268848419,0.917175302328157,0.7163561076604554,0.7355371900826446
3,0.5486680120229721,0.964705858348815,0.8095238095238095,0.5950413223140496
4,0.3411075696349144,0.87119743197556,0.865424430641822,0.71900826446281
5,0.2432621642947197,1.0946406876256551,0.9047619047619048,0.6198347107438017
6,0.26039696019142866,0.6696803867230038,0.9109730848861284,0.768595041322314
7,0.21488358825445175,0.806434404820758,0.927536231884058,0.7024793388429752
8,0.16048289649188519,0.9342062751130462,0.9503105590062112,0.7355371900826446
9,0.22418268024921417,1.264114250197106,0.9233954451345756,0.6115702479338843
10,0.1984651442617178,0.8750696555239414,0.9254658385093167,0.743801652892562
11,0.23566692788153887,1.148915482396818,0.9192546583850931,0.6528925619834711
12,0.10686827031895518,0.9656832296951349,0.9668737060041408,0.7603305785123967
13,0.0832469763699919,0.8525767546620466,0.979296066252588,0.768595041322314
14,0.02720397966913879,0.9666948947374031,0.9979296066252588,0.7355371900826446
15,0.014971725468058139,0.9712855177369405,0.9937888198757764,0.7520661157024794
16,0.021937424142379314,0.9904992538915605,0.9958592132505176,0.768595041322314
17,0.00684433153946884,0.9036404476389653,1.0,0.7933884297520661
18,0.0028619520599022508,1.0001186934499111,1.0,0.768595041322314
19,0.0023926776775624603,0.966041734194191,1.0,0.768595041322314
20,0.0016966893599601462,0.9813884923161037,1.0,0.768595041322314
21,0.0011040316821890883,0.9883239622647373,1.0,0.768595041322314
22,0.0009505462512606755,0.9868715639870684,1.0,0.768595041322314
23,0.0008281403643195517,0.9937950317018001,1.0,0.768595041322314
24,0.0007451889578078408,0.9883447182859318,1.0,0.768595041322314
25,0.0006627371949434746,0.9912080885688637,1.0,0.768595041322314
26,0.0006647464542766102,0.9857242198699148,1.0,0.768595041322314
27,0.0005767462389485445,0.9927153095908108,1.0,0.768595041322314
28,0.0005276574884192087,0.9939757396068051,1.0,0.768595041322314
29,0.0004894932135357521,0.999993774498171,1.0,0.768595041322314
