epoch,train loss,valid loss,train accu,valid_accu
0,1.7030657082796097,1.5792797961510903,0.23395445134575568,0.24793388429752067
1,1.403280794620514,1.4566368633065343,0.34575569358178054,0.2809917355371901
2,1.3327744752168655,1.2898878185463345,0.4161490683229814,0.4380165289256198
3,1.2060547322034836,1.2378472473995745,0.505175983436853,0.4793388429752066
4,1.0653276145458221,1.0309318882251575,0.5610766045548654,0.5619834710743802
5,0.895997978746891,0.9809875601271459,0.6542443064182195,0.5867768595041323
6,0.7884486392140388,0.893692275297574,0.6997929606625258,0.6033057851239669
7,0.7255048230290413,0.8321821586005698,0.6997929606625258,0.6694214876033058
8,0.6268067844212055,1.057362668377863,0.7494824016563147,0.5702479338842975
9,0.49137549474835396,0.9171517043112785,0.8240165631469979,0.628099173553719
10,0.4424985460937023,1.210071219704768,0.8302277432712215,0.5537190082644629
11,0.5183446444571018,1.1910214254301625,0.8198757763975155,0.5785123966942148
12,0.43290186673402786,0.9275366962013751,0.8405797101449275,0.5867768595041323
13,0.3239168208092451,1.1132892744359753,0.8840579710144928,0.6528925619834711
14,0.3248001914471388,1.7078019855654614,0.8964803312629399,0.5619834710743802
15,0.5520181097090244,1.136387465633298,0.8322981366459627,0.5619834710743802
16,0.31137136928737164,1.033360374974056,0.8985507246376812,0.6942148760330579
17,0.2636967431753874,0.9595026053872617,0.906832298136646,0.7355371900826446
18,0.26324227824807167,0.7820127529964286,0.9192546583850931,0.7520661157024794
19,0.1533894231542945,1.0388053272515756,0.94824016563147,0.6859504132231405
20,0.11895006988197565,1.042315316865772,0.9668737060041408,0.6942148760330579
21,0.09497228497639298,0.9327667803208446,0.9648033126293996,0.7024793388429752
22,0.08723973738960922,0.8828308658913323,0.9730848861283644,0.7355371900826446
23,0.1278200657106936,1.3096603375255473,0.9648033126293996,0.6694214876033058
24,0.12706851679831743,1.1329635230475046,0.9523809523809523,0.6611570247933884
25,0.0805384200066328,1.0164475970296052,0.9751552795031055,0.7272727272727273
26,0.07003442058339715,1.021301879335331,0.9710144927536232,0.6942148760330579
27,0.06267094961367548,1.4349438187437797,0.9855072463768116,0.7024793388429752
28,0.061298260698094964,1.1328157496032902,0.9813664596273292,0.7355371900826446
29,0.028402085416018963,1.2363655147024466,0.9937888198757764,0.71900826446281
