layer,accuracy
0,0.7634408602150538
1,0.8172043010752689
2,0.8064516129032258
3,0.8602150537634409
4,0.8387096774193549
5,0.8494623655913979
6,0.8279569892473119
7,0.8494623655913979
8,0.8387096774193549
9,0.7956989247311828
10,0.7849462365591398
11,0.7741935483870968
