layer,accuracy
0,0.7816091954022989
1,0.7816091954022989
2,0.8275862068965517
3,0.8390804597701149
4,0.8275862068965517
5,0.8735632183908046
6,0.8160919540229885
7,0.8390804597701149
8,0.896551724137931
9,0.8275862068965517
10,0.6896551724137931
11,0.6551724137931034
