layer,accuracy
0,0.872093023255814
1,0.872093023255814
2,0.8430232558139535
3,0.8546511627906976
4,0.8197674418604651
5,0.6976744186046512
6,0.6976744186046512
7,0.6918604651162791
8,0.7093023255813954
9,0.7383720930232558
10,0.6686046511627907
11,0.5988372093023255
