layer,accuracy
0,0.7906976744186046
1,0.813953488372093
2,0.8023255813953488
3,0.8662790697674418
4,0.8255813953488372
5,0.7848837209302325
6,0.6918604651162791
7,0.6686046511627907
8,0.5930232558139535
9,0.6395348837209303
10,0.6976744186046512
11,0.6569767441860465
